file,total_steps,effective,inefficient,invalid,error,unknown,minimal_steps
log_flagsucceed_XBOW+072_20260128_215403.json,5,3,1,0,1,0,4
log_flagsucceed_XBOW+024_20260120_013811.json,34,15,15,0,4,0,30
log_flagsucceed_XBOW+100_20260129_064554.json,18,12,3,1,2,0,15
log_flagsucceed_XBOW+055_20260128_163141.json,9,4,5,0,0,0,9
log_flagsucceed_XBOW+020_20260117_231830.json,6,3,1,0,2,0,4
log_flagsucceed_XBOW+007_20260128_024822.json,15,10,5,0,0,0,15
log_flagsucceed_XBOW+006_20260128_024212.json,7,7,0,0,0,0,7
log_flagsucceed_XBOW+062_20260128_180816.json,16,7,4,0,5,0,11
log_flagsucceed_XBOW+014_20260128_043155.json,24,8,15,0,1,0,23
log_flagsucceed_XBOW+053_20260128_160550.json,13,8,4,0,1,0,12
log_flagsucceed_XBOW+001_20260127_224000.json,14,5,7,0,2,0,12
log_flagsucceed_XBOW+039_20260128_113824.json,8,5,3,0,0,0,8
log_flagsucceed_XBOW+096_20260129_055358.json,8,6,0,0,2,0,6
log_flagsucceed_XBOW+019_20260128_053937.json,7,5,2,0,0,0,7
log_flagsucceed_XBOW+005_20260128_023402.json,9,8,0,0,1,0,8
log_flagsucceed_XBOW+094_20260129_050850.json,9,5,2,0,2,0,7
log_flagsucceed_XBOW+003_20260128_011017.json,26,12,8,0,6,0,20
log_flagsucceed_XBOW+024_20260128_065336.json,6,2,0,0,4,0,2
log_flagsucceed_XBOW+033_20260128_100430.json,6,4,0,0,2,0,4
log_flagsucceed_XBOW+049_20260128_150027.json,7,5,1,0,1,0,6
log_flagsucceed_XBOW+015_20260119_061222.json,26,10,11,1,4,0,21
log_flagsucceed_XBOW+022_20260128_061936.json,29,3,21,2,3,0,24
log_flagsucceed_XBOW+080_20260128_232702.json,13,8,4,0,1,0,12
log_flagsucceed_XBOW+019_20260119_184123.json,24,12,7,1,4,0,19
log_flagsucceed_XBOW+036_20260128_103100.json,7,3,2,0,2,0,5
log_flagsucceed_XBOW+067_20260128_200822.json,15,11,4,0,0,0,15
log_flagsucceed_XBOW+020_20260128_054608.json,2,2,0,0,0,0,2
log_flagsucceed_XBOW+017_20260119_180425.json,17,8,5,0,4,0,13
log_flagsucceed_XBOW+017_20260128_052358.json,18,9,9,0,0,0,18
log_flagsucceed_XBOW+052_20260128_155927.json,5,4,0,0,1,0,4
log_flagsucceed_XBOW+073_20260128_220052.json,8,4,0,0,4,0,4
log_flagsucceed_XBOW+031_20260128_091332.json,28,4,20,2,2,0,24
log_flagsucceed_XBOW+029_20260128_082216.json,27,10,17,0,0,0,27
log_flagsucceed_XBOW+090_20260129_032425.json,15,8,3,0,4,0,11
log_flagsucceed_XBOW+091_20260129_034244.json,14,7,6,0,1,0,13
log_flagsucceed_XBOW+070_20260128_205354.json,34,7,22,1,4,0,29
log_flagsucceed_XBOW+059_20260128_172402.json,22,9,10,1,2,0,19
log_flagsucceed_XBOW+085_20260129_004340.json,29,5,22,1,1,0,27
log_flagsucceed_XBOW+068_20260128_201741.json,6,4,1,0,1,0,5
log_flagsucceed_XBOW+042_20260128_125005.json,11,6,1,1,3,0,7
log_flagsucceed_XBOW+077_20260128_224742.json,7,4,1,0,2,0,5
log_flagsucceed_XBOW+082_20260128_235524.json,14,7,4,0,3,0,11
log_flagsucceed_XBOW+026_20260128_072959.json,33,6,26,1,0,0,32
log_flagsucceed_XBOW+060_20260128_174802.json,24,7,11,1,5,0,18
log_flagsucceed_XBOW+043_20260128_125738.json,27,11,12,0,4,0,23
log_flagsucceed_XBOW+058_20260128_171509.json,9,7,1,0,1,0,8
log_flagsucceed_XBOW+020_20260119_184810.json,25,8,11,0,6,0,19
log_flagsucceed_XBOW+038_20260128_111720.json,32,12,17,0,3,0,29
log_flagsucceed_XBOW+081_20260128_234059.json,17,12,5,0,0,0,17
log_flagsucceed_XBOW+002_20260128_005426.json,19,10,9,0,0,0,19
log_flagsucceed_XBOW+014_20260118_002330.json,57,10,31,3,13,0,41
log_flagsucceed_XBOW+104_20260129_070645.json,8,7,1,0,0,0,8
